ISO_A3,ghsl_year,ghsl_total_built_s_km2
AGO,1975,460.33804
AGO,1980,510.9579
AGO,1985,577.6888
AGO,1990,653.4685
AGO,1995,693.9563
AGO,2000,750.2391
AGO,2005,805.36664
AGO,2010,885.8102
AGO,2015,1014.987
AGO,2020,1284.7676
BEN,1975,192.3351467
BEN,1980,227.166976
BEN,1985,273.8881991
BEN,1990,328.6085404
BEN,1995,364.055808
BEN,2000,409.2777813
BEN,2005,474.9239751
BEN,2010,565.6257991
BEN,2015,666.7455716
BEN,2020,733.4933049
BWA,1975,167.53233
BWA,1980,190.8534
BWA,1985,221.66762
BWA,1990,256.41983
BWA,1995,292.0503
BWA,2000,338.4829
BWA,2005,369.00577
BWA,2010,409.7877
BWA,2015,453.57883
BWA,2020,479.51437
BFA,1975,187.6883769
BFA,1980,227.6201529
BFA,1985,286.0032569
BFA,1990,353.9198009
BFA,1995,409.2383858
BFA,2000,481.8737493
BFA,2005,591.0336284
BFA,2010,752.9357653
BFA,2015,964.591616
BFA,2020,1250.149717
BDI,1975,66.86198044
BDI,1980,77.86990933
BDI,1985,95.61075911
BDI,1990,118.6686436
BDI,1995,134.9231929
BDI,2000,160.1220124
BDI,2005,188.0482987
BDI,2010,236.3693084
BDI,2015,308.66048
BDI,2020,422.9325084
CPV,1975,8.993805333
CPV,1980,10.17289333
CPV,1985,11.77340622
CPV,1990,13.64847644
CPV,1995,14.81499733
CPV,2000,17.14008889
CPV,2005,18.06553956
CPV,2010,19.50016889
CPV,2015,21.35565156
CPV,2020,23.49745956
CMR,1975,387.7006507
CMR,1980,462.6881138
CMR,1985,566.2192071
CMR,1990,690.7394276
CMR,1995,742.7595947
CMR,2000,809.1010276
CMR,2005,873.4390044
CMR,2010,960.7236267
CMR,2015,1072.766066
CMR,2020,1226.951566
CAF,1975,70.329865
CAF,1980,84.37257
CAF,1985,104.10762
CAF,1990,128.80357
CAF,1995,140.3129
CAF,2000,155.83856
CAF,2005,165.24199
CAF,2010,177.33507
CAF,2015,191.01425
CAF,2020,204.45189
TCD,1975,161.90596
TCD,1980,181.93636
TCD,1985,209.61748
TCD,1990,241.75575
TCD,1995,263.07758
TCD,2000,294.09412
TCD,2005,328.352
TCD,2010,377.60217
TCD,2015,445.9139
TCD,2020,556.0118
COM,1975,15.101863
COM,1980,17.392572
COM,1985,20.23899
COM,1990,23.575819
COM,1995,23.609135
COM,2000,23.644756
COM,2005,24.273094
COM,2010,25.013708
COM,2015,25.72033
COM,2020,26.136473
COD,1975,915.06696
COD,1980,1053.3145
COD,1985,1245.7222
COD,1990,1473.0565
COD,1995,1573.0981
COD,2000,1708.4841
COD,2005,1842.0386
COD,2010,2025.5533
COD,2015,2290.5713
COD,2020,2770.5635
COG,1975,119.800606
COG,1980,129.98584
COG,1985,143.20526
COG,1990,158.67232
COG,1995,160.62828
COG,2000,163.51273
COG,2005,171.97552
COG,2010,183.25223
COG,2015,201.42914
COG,2020,241.62305
CIV,1975,437.33353
CIV,1980,506.99017
CIV,1985,594.6183
CIV,1990,692.40015
CIV,1995,750.16504
CIV,2000,828.45825
CIV,2005,902.5609
CIV,2010,1004.2133
CIV,2015,1127.6069
CIV,2020,1262.1967
GNQ,1975,16.506784
GNQ,1980,19.594019
GNQ,1985,23.863657
GNQ,1990,28.978695
GNQ,1995,29.126966
GNQ,2000,29.32914
GNQ,2005,34.204384
GNQ,2010,42.060055
GNQ,2015,51.554077
GNQ,2020,57.478786
ERI,1975,16.820152
ERI,1980,20.14762
ERI,1985,24.933138
ERI,1990,30.429287
ERI,1995,34.44483
ERI,2000,40.31926
ERI,2005,47.15062
ERI,2010,58.003086
ERI,2015,74.620155
ERI,2020,105.37226
SWZ,1975,16.850649
SWZ,1980,20.597702
SWZ,1985,26.559029
SWZ,1990,34.21351
SWZ,1995,40.922398
SWZ,2000,52.39707
SWZ,2005,62.199905
SWZ,2010,79.098236
SWZ,2015,106.23623
SWZ,2020,160.20697
ETH,1975,295.54944
ETH,1980,355.52756
ETH,1985,437.5928
ETH,1990,532.0605
ETH,1995,599.2843
ETH,2000,686.23145
ETH,2005,824.81213
ETH,2010,1070.9456
ETH,2015,1503.9414
ETH,2020,2544.2073
GAB,1975,72.23571
GAB,1980,80.53721
GAB,1985,91.24218
GAB,1990,103.92852
GAB,1995,104.62
GAB,2000,105.75534
GAB,2005,112.51959
GAB,2010,121.2599
GAB,2015,132.15668
GAB,2020,145.83534
GMB,1975,40.732132
GMB,1980,46.769176
GMB,1985,55.122456
GMB,1990,65.15031
GMB,1995,75.18958
GMB,2000,88.32981
GMB,2005,93.98653
GMB,2010,101.160904
GMB,2015,108.697525
GMB,2020,112.512405
GHA,1975,518.5249
GHA,1980,598.71655
GHA,1985,710.6925
GHA,1990,845.19006
GHA,1995,975.5792
GHA,2000,1141.6067
GHA,2005,1304.5703
GHA,2010,1519.2427
GHA,2015,1755.9104
GHA,2020,1924.4955
GIN,1975,191.4525
GIN,1980,227.4163
GIN,1985,278.68973
GIN,1990,338.8269
GIN,1995,376.22595
GIN,2000,425.77448
GIN,2005,471.27826
GIN,2010,531.1088
GIN,2015,597.6227
GIN,2020,648.60925
GNB,1975,31.359877
GNB,1980,38.061882
GNB,1985,47.43016
GNB,1990,58.437813
GNB,1995,64.10846
GNB,2000,71.67739
GNB,2005,77.00737
GNB,2010,83.844055
GNB,2015,91.02945
GNB,2020,95.59494
KEN,1975,350.95715
KEN,1980,421.13794
KEN,1985,533.2874
KEN,1990,679.5184
KEN,1995,764.6953
KEN,2000,903.65186
KEN,2005,1106.3389
KEN,2010,1487.1208
KEN,2015,2080.0415
KEN,2020,3058.435
LSO,1975,60.261204
LSO,1980,68.00306
LSO,1985,80.22639
LSO,1990,95.354805
LSO,1995,107.02365
LSO,2000,123.25199
LSO,2005,136.47586
LSO,2010,153.53871
LSO,2015,175.6953
LSO,2020,210.10588
LBR,1975,71.00484
LBR,1980,82.948875
LBR,1985,98.977936
LBR,1990,117.34293
LBR,1995,120.70886
LBR,2000,125.094955
LBR,2005,141.04704
LBR,2010,162.84967
LBR,2015,186.66263
LBR,2020,199.41278
MDG,1975,214.7672
MDG,1980,271.58212
MDG,1985,351.91367
MDG,1990,444.24255
MDG,1995,477.81265
MDG,2000,519.54517
MDG,2005,567.3686
MDG,2010,635.3254
MDG,2015,717.64923
MDG,2020,807.1958
MWI,1975,217.22585
MWI,1980,285.63626
MWI,1985,388.984
MWI,1990,515.9013
MWI,1995,550.5262
MWI,2000,598.3655
MWI,2005,671.7967
MWI,2010,780.75684
MWI,2015,921.8777
MWI,2020,1095.9266
MLI,1975,252.0867
MLI,1980,305.98416
MLI,1985,379.3414
MLI,1990,463.29575
MLI,1995,529.22974
MLI,2000,615.3788
MLI,2005,700.1332
MLI,2010,813.36505
MLI,2015,938.6572
MLI,2020,1031.02
MRT,1975,41.54161
MRT,1980,46.458206
MRT,1985,52.986465
MRT,1990,60.516872
MRT,1995,69.24419
MRT,2000,84.01401
MRT,2005,101.97544
MRT,2010,130.36131
MRT,2015,170.33829
MRT,2020,228.13062
MUS,1975,25.642069
MUS,1980,31.37612
MUS,1985,39.336056
MUS,1990,48.664894
MUS,1995,49.02585
MUS,2000,49.425247
MUS,2005,55.090683
MUS,2010,62.011604
MUS,2015,68.94689
MUS,2020,71.59458
MOZ,1975,407.159296
MOZ,1980,471.71648
MOZ,1985,558.414528
MOZ,1990,657.650304
MOZ,1995,755.898304
MOZ,2000,909.979392
MOZ,2005,1057.14688
MOZ,2010,1283.063424
MOZ,2015,1579.81888
MOZ,2020,1946.346752
NAM,1975,77.24421
NAM,1980,92.17415
NAM,1985,112.39951
NAM,1990,134.85059
NAM,1995,147.68333
NAM,2000,164.86304
NAM,2005,179.52101
NAM,2010,204.49399
NAM,2015,241.34259
NAM,2020,301.1015
NER,1975,147.52078
NER,1980,174.19789
NER,1985,212.6775
NER,1990,255.98402
NER,1995,283.415
NER,2000,321.089
NER,2005,368.69293
NER,2010,439.03497
NER,2015,541.23047
NER,2020,725.7888
NGA,1975,2214.319
NGA,1980,2587.975
NGA,1985,3102.569
NGA,1990,3716.7913
NGA,1995,4043.6394
NGA,2000,4455.4683
NGA,2005,5171.8916
NGA,2010,6184.838
NGA,2015,7336.127
NGA,2020,8184.0444
RWA,1975,126.346664
RWA,1980,146.11026
RWA,1985,177.9097
RWA,1990,220.01492
RWA,1995,247.29462
RWA,2000,289.76797
RWA,2005,341.3297
RWA,2010,421.43423
RWA,2015,530.8962
RWA,2020,675.65894
STP,1975,7.2872486
STP,1980,7.3461947
STP,1985,7.4074173
STP,1990,7.476237
STP,1995,7.478774
STP,2000,7.4812293
STP,2005,7.567251
STP,2010,7.6627603
STP,2015,7.7563543
STP,2020,7.9015045
SEN,1975,208.68898
SEN,1980,241.68642
SEN,1985,288.24054
SEN,1990,343.31564
SEN,1995,383.03336
SEN,2000,437.64948
SEN,2005,481.23062
SEN,2010,540.6611
SEN,2015,614.22125
SEN,2020,704.0379
SYC,1975,2.3069162
SYC,1980,2.9566972
SYC,1985,3.6325226
SYC,1990,4.3649254
SYC,1995,4.488862
SYC,2000,4.6139374
SYC,2005,4.7865243
SYC,2010,4.9631004
SYC,2015,5.132031
SYC,2020,5.253077
SLE,1975,56.83508
SLE,1980,72.85856
SLE,1985,95.789185
SLE,1990,123.44779
SLE,1995,134.2174
SLE,2000,148.52644
SLE,2005,165.74493
SLE,2010,189.22247
SLE,2015,214.28954
SLE,2020,223.9118
SOM,1975,58.112167
SOM,1980,66.15491
SOM,1985,77.00224
SOM,1990,89.0054
SOM,1995,100.143715
SOM,2000,115.46989
SOM,2005,131.61966
SOM,2010,154.41534
SOM,2015,185.24088
SOM,2020,235.82115
ZAF,1975,2134.946
ZAF,1980,2442.344
ZAF,1985,2889.8484
ZAF,1990,3435.8916
ZAF,1995,3822.3706
ZAF,2000,4333.886
ZAF,2005,4653.636
ZAF,2010,5085.357
ZAF,2015,5629.401
ZAF,2020,6343.2954
SSD,1975,28.247395
SSD,1980,33.14792
SSD,1985,39.566967
SSD,1990,46.647995
SSD,1995,50.55025
SSD,2000,56.20838
SSD,2005,66.43666
SSD,2010,83.39957
SSD,2015,114.13817
SSD,2020,193.01913
SDN,1975,511.5177
SDN,1980,571.87537
SDN,1985,656.3343
SDN,1990,753.78064
SDN,1995,805.44354
SDN,2000,886.2204
SDN,2005,948.5551
SDN,2010,1046.21
SDN,2015,1219.0991
SDN,2020,1635.9741
TZA,1975,827.02496
TZA,1980,957.722
TZA,1985,1149.3982
TZA,1990,1380.7416
TZA,1995,1527.514
TZA,2000,1745.2096
TZA,2005,2052.9084
TZA,2010,2556.1118
TZA,2015,3246.9072
TZA,2020,4113.868
TGO,1975,99.88265
TGO,1980,121.00368
TGO,1985,150.92828
TGO,1990,186.04518
TGO,1995,220.22585
TGO,2000,262.1354
TGO,2005,297.85083
TGO,2010,347.4868
TGO,2015,408.16177
TGO,2020,477.81577
UGA,1975,399.70114
UGA,1980,461.97977
UGA,1985,563.2489
UGA,1990,695.9511
UGA,1995,808.11456
UGA,2000,990.49835
UGA,2005,1191.281
UGA,2010,1525.664
UGA,2015,1997.772
UGA,2020,2640.6785
ZMB,1975,378.49493
ZMB,1980,451.74124
ZMB,1985,551.61066
ZMB,1990,666.3501
ZMB,1995,726.5564
ZMB,2000,806.0328
ZMB,2005,904.2856
ZMB,2010,1044.2098
ZMB,2015,1211.1979
ZMB,2020,1371.7764
ZWE,1975,242.16287
ZWE,1980,279.8221
ZWE,1985,330.28513
ZWE,1990,387.67322
ZWE,1995,429.59802
ZWE,2000,491.973
ZWE,2005,563.8198
ZWE,2010,695.6861
ZWE,2015,910.2626
ZWE,2020,1326.425
AFE,1975,8023.52638424
AFE,1980,9309.48775523
AFE,1985,11160.81932701
AFE,1990,13385.97317
AFE,1995,14774.5071809
AFE,2000,16756.3644041
AFE,2005,18802.859386
AFE,2010,22022.0056071
AFE,2015,26621.491250299998
AFE,2020,33834.0782949
AFW,1975,5528.7794836329995
AFW,1980,6475.14100403
AFW,1985,7777.98371832
AFW,1990,9315.79981534
AFW,1995,10253.61654183
AFW,2000,11471.125552090001
AFW,2005,13047.72558146
AFW,2010,15247.68391399
AFW,2015,17838.08207716
AFW,2020,20257.06377846
SSA,1975,13552.305867873
SSA,1980,15784.62875926
SSA,1985,18938.80304533
SSA,1990,22701.77298534
SSA,1995,25028.12372273
SSA,2000,28227.489956190002
SSA,2005,31850.58496746
SSA,2010,37269.68952109
SSA,2015,44459.57332746
SSA,2020,54091.14207336
